path,loc,internal_imports
src/trading/monitoring/parity_checker.py,98,1
src/trading/monitoring/performance_tracker.py,582,0
src/trading/monitoring/portfolio_monitor.py,196,1
src/trading/monitoring/portfolio_tracker.py,128,0
src/trading/monitoring/__init__.py,1,0
src/trading/portfolio/__init__.py,8,0
src/trading/portfolio/real_portfolio_monitor.py,513,0
src/trading/integration/fix_broker_interface.py,311,0
src/trading/integration/__init__.py,1,0
src/trading/risk_management/__init__.py,32,0
src/trading/strategy_engine/testing/strategy_tester.py,121,0
src/trading/strategy_engine/testing/__init__.py,0,0
src/trading/strategy_engine/__init__.py,8,1
src/trading/trading_manager.py,144,1
src/trading/strategies/__init__.py,0,0
src/trading/strategies/strategy_registry.py,8,1
src/trading/strategies/order_book_analyzer.py,590,1
src/trading/risk/market_regime_detector.py,18,0
src/trading/risk/__init__.py,9,0
src/trading/risk/portfolio_caps.py,37,0
src/trading/models.py,71,1
src/trading/models/trade.py,39,0
src/trading/models/position.py,178,0
src/trading/models/order.py,89,0
src/trading/models/__init__.py,33,0
src/trading/__init__.py,5,0
src/trading/performance/reporting/__init__.py,1,0
src/trading/performance/analytics/__init__.py,1,0
src/trading/performance/__init__.py,1,0
src/trading/performance/dashboards/__init__.py,1,0
src/trading/execution/liquidity_prober.py,297,1
src/trading/execution/execution_engine.py,9,0
src/trading/execution/__init__.py,17,0
src/trading/execution/execution_model.py,31,1
src/trading/execution/fix_executor.py,218,0
src/trading/order_management/order_book/snapshot.py,50,0
src/trading/order_management/order_book/__init__.py,1,0
src/trading/order_management/monitoring/__init__.py,1,0
src/trading/order_management/smart_routing/__init__.py,1,0
src/trading/order_management/__init__.py,1,0
src/trading/order_management/execution/__init__.py,1,0
src/simulation/__init__.py,0,0
src/sensory/dimensions/why/yield_signal.py,82,0
src/sensory/dimensions/why/__init__.py,0,0
src/sensory/dimensions/__init__.py,32,3
src/sensory/when/when_sensor.py,31,1
src/sensory/when/__init__.py,0,0
src/sensory/signals.py,32,0
src/sensory/utils/__init__.py,1,0
src/sensory/tests/test_integration.py,739,0
src/sensory/tests/__init__.py,1,0
src/sensory/why/why_sensor.py,41,1
src/sensory/why/__init__.py,0,0
src/sensory/organs/dimensions/regime_detection.py,31,0
src/sensory/organs/dimensions/pattern_engine.py,824,2
src/sensory/organs/dimensions/temporal_system.py,187,0
src/sensory/organs/dimensions/economic_analysis.py,43,0
src/sensory/organs/dimensions/chaos_dimension.py,208,0
src/sensory/organs/dimensions/integration_orchestrator.py,410,7
src/sensory/organs/dimensions/utils.py,458,0
src/sensory/organs/dimensions/data_integration.py,64,0
src/sensory/organs/dimensions/what_organ.py,404,2
src/sensory/organs/dimensions/anomaly_detection.py,396,0
src/sensory/organs/dimensions/indicators.py,14,0
src/sensory/organs/dimensions/when_organ.py,365,1
src/sensory/organs/dimensions/base_organ.py,342,2
