path,loc,internal_imports
src/trading/order_management/smart_routing/__init__.py,1,0
src/trading/strategy_engine/testing/strategy_tester.py,121,0
src/trading/strategy_engine/testing/__init__.py,0,0
src/trading/strategy_engine/__init__.py,8,1
src/trading/strategies/__init__.py,0,0
src/trading/strategies/strategy_registry.py,8,1
src/trading/strategies/order_book_analyzer.py,590,1
src/performance/vectorized_indicators.py,92,0
src/performance/__init__.py,72,1
src/core/strategy/templates/trend_strategies.py,12,1
src/core/strategy/templates/mean_reversion.py,16,1
src/core/strategy/templates/__init__.py,2,0
src/core/strategy/templates/moving_average.py,19,1
src/core/risk/var_calculator.py,13,0
src/core/risk/stress_testing.py,8,0
src/core/risk/position_sizing.py,19,0
src/core/risk/manager.py,14,1
src/core/risk/__init__.py,2,0
src/operational/bus/__init__.py,2,0
src/operational/container/__init__.py,2,0
src/data_foundation/config/vol_config.py,103,1
src/data_foundation/config/execution_config.py,59,0
src/data_foundation/config/sizing_config.py,40,0
src/data_foundation/config/risk_portfolio_config.py,39,0
src/data_foundation/config/__init__.py,0,0
src/data_foundation/config/why_config.py,49,0
src/data_foundation/ingest/yahoo_ingest.py,95,0
src/data_foundation/ingest/fred_calendar.py,16,1
src/data_foundation/ingest/__init__.py,0,0
src/data_sources/yahoo_finance.py,23,0
src/data_sources/__init__.py,0,0
src/ecosystem/optimization/ecosystem_optimizer.py,546,7
src/ecosystem/optimization/__init__.py,0,0
src/evolution/engine/__init__.py,17,4
src/evolution/selection/adversarial_selector.py,23,0
src/evolution/selection/__init__.py,0,0
src/sensory/what/patterns/orchestrator.py,44,1
src/sensory/what/patterns/__init__.py,0,0
src/thinking/analysis/volume_analysis.py,117,0
src/thinking/analysis/performance_analyzer.py,509,0
src/thinking/analysis/risk_analyzer.py,390,0
src/thinking/analysis/correlation_analyzer.py,298,1
src/thinking/analysis/__init__.py,19,0
src/thinking/analysis/market_analyzer.py,313,1
